Piezo Voltage (V),Fine In 1 (V)
106.686249,2.695631
106.7108,2.695453
106.735352,2.695294
106.759888,2.695159
106.784462,2.694835
106.809006,2.694642
106.83358,2.694447
106.858116,2.694208
106.88269,2.694011
106.907211,2.69382
106.931786,2.693601
106.956329,2.693316
106.980881,2.693013
107.00544,2.692874
107.029999,2.692622
107.054565,2.692329
107.079086,2.692057
107.103661,2.691771
107.128197,2.691523
107.152771,2.691212
107.177315,2.691013
107.201889,2.690718
107.226425,2.690431
107.250984,2.690132
107.27552,2.68983
107.300079,2.689567
107.324638,2.689254
107.34919,2.688973
107.373772,2.688663
107.398308,2.688374
107.422852,2.688071
107.447395,2.687716
107.47197,2.68741
107.496506,2.68712
107.52108,2.686811
107.545624,2.686574
107.570198,2.686125
107.594719,2.685932
107.61927,2.685556
107.643837,2.685305
107.668388,2.685036
107.692963,2.684697
107.717499,2.684403
107.742081,2.684123
107.766586,2.683803
107.791161,2.683491
107.815704,2.683218
107.840279,2.682881
107.864815,2.682618
107.889381,2.682409
107.913933,2.682122
107.938469,2.681817
107.963043,2.68151
107.987579,2.681252
108.012161,2.68103
108.036697,2.68073
108.061272,2.680508
108.085808,2.680192
108.110359,2.680021
108.134895,2.67972
108.15947,2.679537
108.184013,2.679267
108.208565,2.679044
108.233124,2.678812
108.257683,2.67849
108.282242,2.678314
108.306778,2.678051
108.331352,2.677793
108.355888,2.677614
108.38047,2.677359
108.405006,2.677113
108.429581,2.676923
108.454094,2.676687
108.478668,2.67644
108.503204,2.676194
108.527763,2.676037
108.552322,2.675838
108.576874,2.675611
108.601456,2.675363
108.625969,2.675181
108.650551,2.675004
108.675087,2.674813
108.699661,2.674512
108.724197,2.674375
108.748779,2.674147
108.773315,2.673857
108.797859,2.673639
108.822403,2.673495
108.846954,2.673273
108.871521,2.673035
108.896072,2.672858
108.920647,2.672698
108.945183,2.672393
108.969742,2.67219
108.994278,2.671968
109.01886,2.671697
109.043396,2.671591
109.06797,2.671362
109.092506,2.671147
109.117088,2.670847
109.141594,2.670651
109.166153,2.670426
109.190727,2.670183
109.215263,2.669986
109.239845,2.669698
109.264381,2.669531
109.288956,2.669245
109.313477,2.668987
109.338051,2.668751
109.362587,2.668522
109.387169,2.668233
109.411705,2.667984
109.436272,2.66765
109.460815,2.667418
109.485344,2.667109
109.509926,2.666872
109.534462,2.666605
109.559036,2.666317
109.583572,2.665988
109.608154,2.665739
109.63269,2.665349
109.657249,2.665038
109.681786,2.664812
109.70636,2.66452
109.730896,2.664211
109.755455,2.663832
109.780014,2.663559
109.804573,2.663258
109.829117,2.662901
109.853653,2.662653
109.878235,2.662263
109.902771,2.661953
109.927345,2.66158
109.951881,2.661304
109.976463,2.660896
110.000977,2.660632
110.025558,2.660293
110.050095,2.65996
110.074654,2.659568
110.099205,2.659214
110.123764,2.658892
110.148338,2.658558
110.172852,2.65821
110.197426,2.657843
110.221962,2.657568
110.246544,2.65722
110.27108,2.656892
110.295654,2.656543
110.320198,2.656185
110.344749,2.655863
110.369293,2.655533
110.393845,2.655228
110.418411,2.654999
110.442963,2.654583
110.467537,2.654228
110.492073,2.653883
110.516624,2.653663
110.541161,2.653252
110.565735,2.653008
110.590279,2.652726
110.614853,2.65241
110.639389,2.652092
110.663956,2.651783
110.688484,2.651562
110.713043,2.651278
110.737617,2.651003
110.762154,2.650702
110.786736,2.65048
110.811272,2.650226
110.835846,2.649879
110.860359,2.649608
110.884933,2.649345
110.90947,2.649054
110.934044,2.648812
110.958588,2.648502
110.983139,2.648296
111.007698,2.647981
111.032234,2.647689
111.056816,2.647441
111.081352,2.647171
111.105927,2.646963
111.130463,2.646745
111.155045,2.64654
111.179581,2.646225
111.204124,2.645977
111.228668,2.645722
111.253235,2.64544
111.277779,2.645123
111.302338,2.644911
111.326897,2.644696
111.351448,2.644471
111.376007,2.644192
111.400543,2.643971
111.425125,2.643684
111.449661,2.643505
111.474236,2.643271
111.498772,2.642996
111.523354,2.642782
111.547859,2.642491
111.572433,2.642201
111.596977,2.64197
111.621529,2.641633
111.646095,2.641342
111.670647,2.641063
111.695221,2.640847
111.719742,2.640581
111.744316,2.640324
111.768852,2.640031
111.793434,2.639753
111.81797,2.639469
111.842545,2.639194
111.867081,2.638913
111.891632,2.638598
111.916168,2.63839
111.940727,2.638038
111.965302,2.637654
